name,id,filepath,value
KnowingCalm_69,0,"""../static/images/artworks/KnowingCalm_69.jpeg""",1
ScalingColors_69,1,"""../static/images/artworks/ScalingColors_69.jpeg""",1
PhoneCalls_79,2,"""../static/images/artworks/PhoneCalls_79.jpeg""",2
WrappedUp_79,3,"""../static/images/artworks/WrappedUp_79.jpeg""",2
NoahsArk_79,4,"""../static/images/artworks/NoahsArk_79.jpeg""",2
GhostMonster_69,5,"""../static/images/artworks/GhostMonster_69.jpeg""",1
DismemberedEnthusiast_79,6,"""../static/images/artworks/DismemberedEnthusiast_79.jpeg""",2
RunningFromHome_129,7,"""../static/images/artworks/RunningFromHome_129.jpeg""",7
InitialSpark_149,8,"""../static/images/artworks/InitialSpark_149.jpeg""",9
Composition_159,9,"""../static/images/artworks/Composition_159.jpeg""",10
DeananAwsen_79,10,"""../static/images/artworks/DeananAwsen_79.jpeg""",2
EvelynDarkeyes_99,11,"""../static/images/artworks/EvelynDarkeyes_99.jpeg""",4
RelaxInWoods_129,12,"""../static/images/artworks/RelaxInWoods_129.jpeg""",7
FarmBoy_149,13,"""../static/images/artworks/FarmBoy_149.jpeg""",9
PaulineIngido_159,14,"""../static/images/artworks/PaulineIngido_159.jpeg""",10
AsYouWere_79,15,"""../static/images/artworks/AsYouWere_79.jpeg""",2
ListedEmotions_99,16,"""../static/images/artworks/ListedEmotions_99.jpeg""",4
StreamOfOne_129,17,"""../static/images/artworks/StreamOfOne_129.jpeg""",7
RulesOfDesign_149,18,"""../static/images/artworks/RulesOfDesign_149.jpeg""",9
BeyondMusic_159,19,"""../static/images/artworks/BeyondMusic_159.jpeg""",10
HearingWinds_129,20,"""../static/images/artworks/HearingWinds_129.jpeg""",7
Spa_149,21,"""../static/images/artworks/Spa_149.jpeg""",9
TheFullView_99,22,"""../static/images/artworks/TheFullView_99.jpeg""",4
JulyAugust_89,23,"""../static/images/artworks/JulyAugust_89.jpeg""",3
Nights_69,24,"""../static/images/artworks/Nights_69.jpeg""",1
ViennaIsWaiting_69,25,"""../static/images/artworks/ViennaIsWaiting_69.jpeg""",1
Lascaux_129,26,"""../static/images/artworks/Lascaux_129.jpeg""",7
ForcefulLiving_159,27,"""../static/images/artworks/ForcefulLiving_159.jpeg""",10
NirvanasGates_99,28,"""../static/images/artworks/NirvanasGates_99.jpeg""",4
BedOfBoats_79,29,"""../static/images/artworks/BedOfBoats_79.jpeg""",2
PointlessVisitor_149,30,"""../static/images/artworks/PointlessVisitor_149.jpeg""",9
Wrecks_99,31,"""../static/images/artworks/Wrecks_99.jpeg""",4
HidingTime_89,32,"""../static/images/artworks/HidingTime_89.jpeg""",3
DevelopmentalViews_129,33,"""../static/images/artworks/DevelopmentalViews_129.jpeg""",7
OneSidedConversations_149,34,"""../static/images/artworks/OneSidedConversations_149.jpeg""",9
BlowingIce_69,35,"""../static/images/artworks/BlowingIce_69.jpeg""",1
BrendaBooker_79,36,"""../static/images/artworks/BrendaBooker_79.jpeg""",2
CreepyCrawler_99,37,"""../static/images/artworks/CreepyCrawler_99.jpeg""",4
BleedingBoat_129,38,"""../static/images/artworks/BleedingBoat_129.jpeg""",7
CaveMasters_149,39,"""../static/images/artworks/CaveMasters_149.jpeg""",9
FloatingLust_149,40,"""../static/images/artworks/FloatingLust_149.jpeg""",9
Illuminate_79,41,"""../static/images/artworks/Illuminate_79.jpeg""",2
Tattoo_99,42,"""../static/images/artworks/Tattoo_99.jpeg""",4
SoFarUp_129,43,"""../static/images/artworks/SoFarUp_129.jpeg""",7
ItStillHurts_149,44,"""../static/images/artworks/ItStillHurts_149.jpeg""",9
FlowersWithJam_129,45,"""../static/images/artworks/FlowersWithJam_129.jpeg""",7
FloraOverflow_149,46,"""../static/images/artworks/FloraOverflow_149.jpeg""",9
BrainFlowers_99,47,"""../static/images/artworks/BrainFlowers_99.jpeg""",4
AirbrushedFlowers_79,48,"""../static/images/artworks/AirbrushedFlowers_79.jpeg""",2
OptimisticFlowers_159,49,"""../static/images/artworks/OptimisticFlowers_159.jpeg""",10